index,Pathway
1358,P21-PWY
1359,PWY-5473
1360,PWY-7796
1361,PWY-5474
1362,PWY-6448
1363,PWY-5738
1364,PWY-7613
1365,PWY-6440
1366,GDPRHAMSYN-PWY
1367,PWY-5661
1368,PWY-5740
1369,PWY-6713
1370,PWY-7610
1371,PWY-6714
1372,PWY-5739
1373,PWY-6478
1374,PWY-5748
1375,PWY-7573
1376,PWY-7600
1377,PWY-5491
1378,PWY-6027
1379,P483-PWY
1380,PWY-7605
1381,PWY-7135
1382,PHOSPHONOTASE-PWY
1383,PWY-7525
1384,PWY-7447
1385,PWY-7704
1386,PWY-6832
1387,PWY-6653
1388,PWY-7543
1389,PWY-5710
1390,PWY-7558
1391,2AMINOBENZDEG-PWY
1392,PWY-5958
1393,PWY-6504
1394,PWY-7604
1395,PWY-6079
1396,PWY-6923
1397,PWY-6906
1398,PWY-6077
1399,PWY-7608
1400,PWY-7265
1401,PWY-6855
1402,PWY-7660
1403,PWY-7822
1404,PWY-7542
1405,PWY-7826
1406,PWY-5666
1407,PWY-7555
1408,PWY-7232
1409,PWY-5883
1410,LACTOSEUTIL-PWY
1411,PWY-7603
1412,PWY-5278
1413,PWY-5047
1414,PWY-7607
1415,PWY-6983
1416,PWY-7138
1417,PWY-4981
1418,PWY-7612
1419,PWY-5279
1420,PWY-7526
1421,PWY-4281
1422,PWY-7705
1423,PWY-5664
1424,PWY-5315
1425,PWY-6494
1426,PWY-7549
1427,PWY-7147
1428,PWY-6578
1429,PWY-5076
1430,PWY-5075
1431,PWY-7767
1432,PWY-7638
1433,PWY-6809
1434,PWY-5875
1435,PWY-7591
1436,PWY-6824
1437,PWY-7637
1438,PWY-7491
1439,PWY-6767
1440,PWY-7749
1441,PWY-7636
1442,PWY-6820
1443,PWY18HP-2
1444,PWY-7487
1445,PWY-7631
1446,PWY-3602
1447,PWY-6738
1448,PWY-5479
1449,PWY-7472
1450,PWY-7139
1451,PWY-6739
1452,PWY-7630
1453,PWY-7471
1454,PWY-3641
1455,PWY-6302
1456,PWY-7650
1457,PWY-6826
1458,PWY-5283
1459,PWY-5314
1460,PWY-6328
1461,PWY-6553
1462,LYSDEGII-PWY
1463,PWY-6552
1464,PWY-5280
1465,PWY-6633
1466,PWY-5311
1467,PWY-6538
1468,PWY-7470
1469,PWY-5298
1470,PWY-5324
1471,PWY-2942
1472,PWY-2941
1473,LYSINE-AMINOAD-PWY
1474,PWY-3081
1475,PWY-7053
1476,PWY-7727
1477,PWY-7585
1478,PWY-5409
1479,PWY-5406
1480,PWY-5274
1481,PWY-6978
1482,PWY-7554
1483,PWY-7856
1484,PWY-7766
1485,PWY-7552
1486,PWY-5752
1487,PWY-5316
1488,14DICHLORBENZDEG-PWY
1489,PWY-6090
1490,PWY-6852
1491,PWY-6083
1492,PWY-6099
1493,PWY-6081
1494,PWY-6091
1495,PWY-7589
1496,PWY-6684
1497,PWY-7164
1498,PWY-7843
1499,PWY-7846
1500,PWY-6654
1501,PWY-7845
1502,PWY-5297
1503,PWY-3961
1504,PWY-7848
1505,PWY-7844
1506,PWY-7847
1507,PWY-5526
1508,PWY-7760
1509,PWY-7759
1510,PWY-7014
1511,PWY-7758
1512,PWY-7762
1513,PWY-6534
1514,PWY-7022
1515,PWY-7764
1516,SHIKIMATEDEG-PWY
1517,PWY-6419
1518,PWY-1341
1519,PWY-7159
1520,PWY-5531
1521,PWY-7581
1522,PWY-5923
1523,PWY-6526
1524,PWY-5924
1525,PWY-6946
1526,PWY-6945
1527,PWY-7709
1528,PWY-7141
1529,PWY-7818
1530,PWY-7167
1531,PWY-3721
1532,PWY-7467
1533,PWY-7369
1534,PWY-7357
1535,PWY-7817
1536,PWY-7282
1537,TEICHOICACID-PWY
1538,PWY-7593
1539,PWY-6001
1540,PWY-5029
1541,PWY-7816
1542,PWY-5028
1543,PWY-7855
1544,HISTDEG-PWY
1545,PWY-5031
1546,PWY-5736
1547,PWY-7246
1548,PWY-7819
1549,HISHP-PWY
1550,PWY-7431
1551,HISDEG-PWY
1552,PWY-7248
1553,PWY-7815
1554,PWY-7085
1555,P561-PWY
1556,PWY-6968
1557,PWY-7530
1558,PWY-7290
1559,PWY-7268
1560,PWY-1264
1561,PWY-7269
1562,DENITRIFICATION-PWY
1563,TAURINEDEG-PWY
1564,P303-PWY
1565,PWY-6529
1566,PWY-1263
1567,P224-PWY
1568,PWY-5674
1569,PWY-6748
1570,PWY-7850
1571,DISSULFRED-PWY
1572,PWY-4601
1573,PWY-6530
1574,PWY-6134
1575,PWY-5418
1576,PHENOLDEG-PWY
1577,PWY-6120
1578,PWY-7382
1579,PWY-6987
1580,PWY-6984
1581,PWY-5407
1582,PWY-5408
1583,PWY3O-4108
1584,PWY-5458
1585,PWY-7516
1586,PWY-5456
1587,PWY-5462
1588,PWY-4421
1589,DHGLUCONATE-PYR-CAT-PWY
1590,PWY-7566
1591,PWY-7682
1592,PWY-5882
1593,PWY-6835
1594,PWY-6501
1595,PWY-7643
1596,PWY-6330
1597,PWY-6801
1598,PWY-6499
1599,PWY-6949
1600,PWY-5081
1601,PWY-7498
1602,PWY-7540
1603,PWY-6648
1604,PWY-7599
1605,PWY-5954
1606,PWY-7399
1607,PWY-7153
1608,PWY-7751
1609,PWY-5959
1610,PWY-6753
1611,PWY-6795
1612,PWY-6048
1613,PWY-7490
1614,PWY-6683
1615,PWY-6045
1616,PWY8J2-20
1617,PWY-6486
1618,PWY-5975
1619,PWY-6029
1620,PWY-6831
1621,PWY-6491
1622,PWY-7531
1623,PWY-6325
1624,PWY-6069
1625,PWY-6515
1626,PWY-6926
1627,PWY-3162
1628,PWY-7536
1629,PWY-7397
1630,PWY-6644
1631,PWY-5153
1632,PWY-7040
1633,TRPKYNCAT-PWY
1634,PWY-6967
1635,PWY-7262
1636,PWY-7556
1637,PWY-6965
1638,PWY-5284
1639,PWY-5935
1640,PWY-7449
1641,PWY-6661
1642,PWY-5307
1643,PWY-7708
1644,PWY-7458
1645,PWY-5956
1646,PWY-7679
1647,PWY-7463
1648,PWY-7256
1649,PWY-6497
1650,PWY-5317
1651,PWY-7861
1652,PWY-5139
1653,PWY-7261
1654,PWY-6808
1655,PWY-7493
1656,PWY-7280
1657,PWY-5846
1658,PWY-6068
1659,PWY-5295
1660,PWY-6920
1661,PWY-7452
1662,PWY-7534
1663,PWY-6585
1664,PWY-7678
1665,PWY-5843
1666,PWY-6950
1667,PWY-7253
1668,PWY-7548
1669,PWY-5826
1670,PWY-7260
1671,PWY-6660
1672,PWY-5318
1673,PWY-7687
1674,PWY-5955
1675,PWY-5286
1676,PWY-6699
1677,PWY-7236
1678,PWY-7574
1679,PWY-6095
1680,PWY-7752
1681,PWY-7464
1682,PWY-5960
1683,PWY-5747
1684,PWY-7252
1685,PWY-7259
1686,PWY-7492
1687,PWY-5979
1688,PWY-6109
1689,PWY-6839
1690,PWY-7533
1691,PWY-7808
1692,PWY-7717
1693,PWY-7652
1694,PWY-7765
1695,PWY-7066
1696,PWY-5759
1697,PWY-5087
1698,PWY-7069
1699,PWY-5766
1700,PWY-3861
1701,PWY-6778
1702,PWY-5828
1703,PWY-5827
1704,PWY-7130
1705,PWY-7087
1706,PWY-7473
1707,PWY-7459
1708,GLUTAMINEFUM-PWY
1709,MALTOSECAT-PWY
1710,PWY-6279
1711,P302-PWY
1712,PWY-7175
1713,PWY-5288
1714,PWY-7077
1715,PWY-6286
1716,PWY-7395
1717,PWY-6510
1718,PWY-6581
1719,PWY-6509
1720,PWY-5506
1721,PWY-7535
1722,PWY-6105
1723,PWY-6966
1724,PWY-6280
1725,PWY-1641
1726,PWY-6288
1727,PWY-6742
1728,PWY-5174
1729,PWY-7623
1730,PWY-5291
1731,PWY-7562
1732,PWY-5305
1733,PWY-6681
1734,PWY-5756
1735,PWY-5398
1736,PWY-5519
1737,PWY-5397
1738,PWY-7347
1739,DARABCAT-PWY
1740,PWY-6422
1741,PWY-7681
1742,PWY-7775
1743,PWY-5643
1744,PWY-5642
1745,PWY-7774
1746,PWY-7475
1747,PWY-6098
1748,PWY-6391
1749,PWY-6390
1750,PWY-6392
1751,PWY-5672
1752,PWY-7465
1753,ARG-GLU-PWY
1754,PWY-2601
1755,ARGDEG-III-PWY
1756,PWY-6050
1757,PWY-6321
1758,PWY-6642
1759,PWY-5742
1760,PWY-7462
1761,PWY-5774
1762,PWY-5260
1763,PWY-6044
1764,PWY-5024
1765,PWY-7072
1766,PWY-6634
1767,PWY-7793
1768,ARGDEG-IV-PWY
1769,PWY-5258
1770,PWY-6043
1771,PWY-6058
1772,PWY-7523
1773,PWY-6593
1774,PWY-6046
1775,PWY-6056
1776,PWY-7474
1777,PWY-6052
1778,PWY-7400
1779,PWY-5154
1780,PWY-6664
1781,PWY-7054
1782,PWY-6053
1783,PWY-6055
1784,PWY-6054
1785,PWY-6047
1786,PWY-6059
1787,PWY-6057
1788,PWY-6131
1789,PWY3O-6
1790,PWY-7852
1791,PWY-7539
1792,PWY-6797
1793,PWY-7853
1794,PWY-4002
1795,TOLUENE-DEG-3-OH-PWY
1796,TOLUENE-DEG-DIOL-PWY
1797,PWY-7700
1798,GLYSYN-THR-PWY
1799,TOLUENE-DEG-2-OH-PWY
1800,TOLUENE-DEG-CATECHOL-PWY
1801,PWY-81
1802,TOLUENE-DEG-4-OH-PWY
1803,PWY-7703
1804,P341-PWY
1805,ANAGLYCOLYSIS-PWY
1806,PWY-7723
1807,PWY-6423
1808,PWY-7798
1809,PWY-7658
1810,PWY-7216
1811,PWY-7832
1812,PWY-7052
1813,PWY-7831
1814,PWY1-3
1815,PWY-7790
1816,PWY-7837
1817,PWY-7426
1818,PWY-6657
1819,PWY-6269
1820,PWY-7435
1821,PWY-5808
1822,PWY-7661
1823,PWY-7791
1824,PWY-7833
1825,PWY-5132
1826,PWY-6401
1827,PWY-1901
1828,PWY-5140
1829,PWY-7857
1830,PWY-7105
1831,PWY-2421
1832,PWY-7842
1833,PWY-5133
1834,PWY-7090
1835,PWY-7478
1836,PWY-7331
1837,PWY-7489
1838,PWY-7334
1839,PWY-7477
1840,P105-PWY
1841,PWY-5660
1842,PWY-7028
1843,PWY-7680
1844,PWY-6645
1845,PWY-6969
1846,PWY-7330
1847,PWY-7482
1848,REDCITCYC
1849,PWY-7572
1850,PWY-7333
1851,PWY-6691
1852,PWY-7070
1853,PWY-5913
1854,PWY-7481
1855,PWY-7517
1856,CYCLOHEXANOL-OXIDATION-PWY
1857,PWY-7721
1858,PWY-6464
1859,PWY-6944
1860,PWY-6659
1861,PWY-7013
1862,PWY-6943
1863,PWY-7336
1864,PWY-7065
1865,PWY-6948
1866,PWY-2981
1867,PWY-7754
1868,PWY-7484
1869,PWY3O-246
1870,PWY-6518
1871,PWY-6388
1872,PWY-7254
1873,PWY-5509
1874,PWY-5508
1875,PWY-5907
1876,PWY-6456
1877,PWY-7729
1878,PWY-7297
1879,PWY-5523
1880,PWY-5482
1881,P101-PWY
1882,PWY-5488
1883,PWY-5487
1884,PWY-5768
1885,PWY-6562
1886,PWY-3722
1887,PWY-6004
1888,P541-PWY
1889,PWY-6426
1890,PWY-6935
1891,PWY-7849
1892,PWY-6933
1893,PWY-7394
1894,PWY-7469
1895,PWY-5636
1896,PWY-6223
1897,PWY-6297
1898,PWY-5703
1899,PWY-7859
1900,PWY-6610
1901,PWY-4942
1902,PWY3O-355
1903,PWY-6994
1904,PWY-5338
1905,PWY-6737
1906,PWY-5855
1907,PWY-6735
1908,PWY-5870
1909,PWY-6412
1910,PWY-6411
1911,PWY-6731
1912,PWY-5873
1913,PWY-3161
1914,TRPIAACAT-PWY
1915,PWY-7233
1916,PWY-5026
1917,PWY-5025
1918,PWY-5857
1919,PWY-5532
1920,PWY-7142
1921,CO2FORM-PWY
1922,PWY-1722
1923,PWY-7230
1924,PWY-7750
1925,PWY3O-19
1926,PWY-5493
1927,PWY-7854
1928,PWY-5856
1929,CODH-PWY
1930,PWY-5789
1931,PWY-7784
1932,PWY-5743
1933,PWY-6157
1934,PWY-6154
1935,PWY-7594
1936,PWY-7621
1937,PWY-7773
1938,PWY-7772
1939,PWY-6636
1940,PWY-6224
1941,PWY-5629
1942,PWY-5630
1943,PWY-5631
1944,PWY-6183
1945,PWY-7838
1946,PWY-5632
1947,PWY-5633
1948,PWY-5679
1949,PWY-6640
1950,PWY-7841
1951,PWY-5737
1952,PWY-5757
1953,PWY-5770
1954,PWY-5776
1955,PWY-7836
1956,PWY-5818
1957,PWY-5887
1958,PWY-5929
1959,PWY-5930
1960,PWY-7840
1961,PWY-5940
1962,PWY-5984
1963,PWY-6003
1964,PWY-6322
1965,PWY-6324
1966,PWY-6345
1967,PWY-6346
1968,PWY-6511
1969,PWY-6679
1970,PWY-6682
1971,PWY-7839
1972,PWY-6720
1973,PWY-6721
1974,PWY-6722
1975,PWY-6915
1976,PWY-6919
1977,PWY-6955
1978,PWY-7015
1979,PWY-7404
1980,PWY-7016
1981,PWY-7018
1982,PWY-7019
1983,PWY-5885
1984,PWY-7025
1985,PWY-7045
1986,PWY-6453
1987,PWY-4722
1988,PWY-7274
1989,CRNFORCAT-PWY
1990,PWY-4741
1991,PWY-7352
1992,PWY-6818
1993,PWY-7354
1994,PWY-7420
1995,PWY-7355
1996,PWY-7666
1997,PWY-7419
1998,PWY-7684
1999,PWY-7441
2000,PWY-7738
2001,PWY-5057
2002,PWY-7483
2003,PWY-7740
2004,PWY-7485
2005,PWY-7741
2006,PWY-7510
2007,PWY-7742
2008,PWY-7547
2009,PWY-7743
2010,PWY-7564
2011,PWY-7744
2012,PWY-7569
2013,PWY-7745
2014,PWY-5662
2015,PWY-7570
2016,PWY-7746
2017,PWY-6685
2018,TREHALOSESYN-PWY
2019,PWY-7626
2020,PWY-7653
2021,PWY-7655
2022,PWY-7659
2023,SOPHOROSYLOXYDOCOSANOATE-SYN-PWY
2024,PWY-2661
2025,PWY-7665
2026,PWY-5665
2027,PWY-7669
2028,PWY-7670
2029,PWY-7671
2030,PWY-881
2031,PWY-7690
2032,PWY-7097
2033,PWY-7693
2034,PWY-7694
2035,PWY-7702
2036,PWY-2622
2037,PWY-7706
2038,PWY-7098
2039,PWY-7716
2040,PWY-7718
2041,PWY-7733
2042,PWY-5985
2043,PWY-7734
2044,PWY-7735
2045,PWY-7737
2046,PWY-5970
2047,PWY-7769
2048,PWY-7770
2049,PWY-2361
2050,PWY-7797
2051,PWY-6429
2052,PWY-301
2053,PWY-5074
2054,PWY-7810
2055,PWY-5983
2056,PWY-7811
2057,PWY-7094
2058,PWY-6791
2059,PWY-7812
2060,PWY-7586
2061,PWY-7821
2062,PWY-5654
2063,PWY-7863
2064,PWYG-321
2065,PWY-6790
2066,PWY-5749
2067,PWY1A0-6325
2068,PWY-7243
2069,PWY-6021
2070,PWY-6917
2071,PWY-7407
2072,P183-PWY
2073,PWY-7405
2074,PWY-842
2075,PWY-6343
2076,PWY-5419
2077,PWY-6373
2078,CATECHOL-ORTHO-CLEAVAGE-PWY
2079,PWY-7310
2080,PWY-6014
2081,PWY-5170
2082,PWY-5726
2083,PWY-5171
2084,PWY-2722
2085,2OXOBUTYRATECAT-PWY
2086,PWY-5727
2087,PWY-3661
2088,PWY-7634
2089,PWY-5367
2090,P141-PWY
2091,PWY-7618
2092,PWY-5731
2093,PWY-5362
2094,PWY-7691
2095,PWY-5361
2096,PWY-2721
2097,PWY-7663
2098,PWY-7858
2099,PWY-6575
2100,PWY-2723
2101,PWY-6650
2102,SUCROSEUTIL2-PWY
2103,PWY-7300
2104,PWY-7410
2105,PWY-5384
2106,PWY-7423
2107,PWY-7654
2108,PWY-7656
2109,PWY-6805
2110,PWY-6788
2111,PWY-6784
2112,PWY-6704
2113,PWY-6960
2114,PWY-5521
2115,PWY-5344
2116,PWY-7165
2117,PWY-6592
2118,PWY-7275
2119,DESULFONATION-PWY
2120,PWY-7648
2121,PWY-7521
2122,PWY-6591
2123,PWY-7649
2124,PWY-6041
2125,PWY-7701
2126,PWY-5165
2127,TOLSULFDEG-PWY
2128,PWY-7803
2129,PWY-6258
2130,PWY-5760
2131,PWY-2961
2132,PWY-7089
2133,PWY-6291
2134,PWY-7093
2135,PWY-6836
2136,PWY-3121
2137,PWY-5950
2138,PWY-6665
2139,PWY-6011
2140,PWY-7712
2141,PWY-7092
2142,PWY-6257
2143,PWY-6002
2144,PWY-7730
2145,ORN-AMINOPENTANOATE-CAT-PWY
2146,PWY-6060
2147,PWY-7091
2148,PWY-6271
2149,PWY-5976
2150,PWY-2921
2151,PWY-5794
2152,PWY-6290
2153,PWY-7439
2154,PWY-6344
2155,PWY-5388
2156,PWY-6669
2157,PWY-1781
2158,PWY-7088
2159,PWY-5773
2160,PWY-7711
2161,PWY-6973
2162,PWY-5990
2163,PWY-6254
2164,PWY-7824
2165,PWY-7714
2166,PWY-3022
2167,PWY-6265
2168,PWY-7095
2169,PWY-6278
2170,PWY-7688
2171,PWY-5425
2172,PWY-5641
2173,PWY-6294
2174,PWY-5733
2175,PWY-5644
2176,PWY-6888
2177,PWY-7104
2178,P421-PWY
2179,PWY-6128
2180,PWY-7668
2181,PWY-7713
2182,PWY-6130
2183,PWY-7667
2184,PWY-6421
2185,PWY-6883
2186,PWY-7541
2187,PWY4FS-17
2188,PWY-7396
2189,PWY-6583
2190,PWY-7318
2191,PWY-7109
2192,PWY-7385
2193,PWY-7415
2194,PWY-6953
2195,PWY-7624
2196,PWY-7289
2197,6-HYDROXYCINEOLE-DEGRADATION-PWY
2198,PWY-7657
2199,PWY-6672
2200,PWY-7108
2201,PWY-7136
2202,PWY-5967
2203,PWY-6670
2204,PWY-7412
2205,PWY-6976
2206,PWY-6413
2207,PWY-7422
2208,PWY-6678
2209,PWY-6971
2210,PWY-7642
2211,PWY-7312
2212,PWY-7640
2213,PWY-7106
2214,PWY-7414
2215,PWY-7421
2216,PWY-7677
2217,PWY-7662
2218,PWY-6942
2219,PWY-6649
2220,PWY-7440
2221,PWY-6974
2222,PWY-7174
2223,PWY-7645
2224,PWY-7814
2225,PWY-6572
2226,PWY-7644
2227,PWY-7651
2228,PWY-7646
2229,PWY-7301
2230,PWY-7316
2231,PWY-7413
2232,PWY-5039
2233,PWY-5040
2234,PWY-5037
2235,PWY-5038
2236,PWY-5375
2237,PWY-5374
2238,PWY-5373
2239,PWY-7804
2240,PWY-7590
2241,PWY-7807
2242,PWY-5368
2243,PWY-7806
2244,PWY-6435
2245,PWY-6431
2246,PWY-3061
2247,PWY-5423
2248,PWY-5813
2249,PWY-5829
2250,PWY-6658
2251,PWY-5835
2252,P164-PWY
2253,PWY-822
2254,PWY-5928
2255,PWY-5497
2256,PWY-6436
2257,PWY-7383
2258,PWY-6437
2259,PWY-6655
2260,PWY-6445
2261,PWY-6447
2262,PWY-6449
2263,PWY-6403
2264,PWY-6451
2265,PWY-7182
2266,PWY-6082
2267,PWY-7443
2268,PWY-6073
2269,PWY-7697
2270,PWY-5109
2271,PWY-6991
2272,PWY-6990
2273,PWY-804
2274,PWY-6989
2275,P601-PWY
2276,P161-PWY
2277,PWY-5536
2278,PWY-6711
2279,P124-PWY
2280,PWY-7285
2281,P163-PWY
2282,PWY-5535
2283,P162-PWY
2284,PWY-7375
2285,PWY-7598
2286,PWY-5411
2287,PWY-5414
2288,PWY-6536
2289,PWY-5118
2290,PWY-6603
2291,PWY-5116
2292,PWY-6013
2293,PWY-5422
2294,PWY-5105
2295,PWY-7641
2296,PWY-6834
2297,PWY-6602
2298,PWY-5094
2299,PWY-5413
2300,PWY-6559
2301,PWY-6588
2302,PWY-5421
2303,PWY-7351
2304,CENTFERM-PWY
2305,PWY-7444
2306,PWY-7111
2307,PWY-5412
2308,PWY-5119
2309,PWY-6015
2310,PWY-6863
2311,PWY-7161
2312,PWY-7212
2313,PWY3O-440
2314,PWY-6010
2315,PWY-6389
2316,PWY-6692
2317,PWY-7189
2318,PWY-7298
2319,PWY-5793
2320,PWY-6024
2321,PWY-7188
2322,PWY-7133
2323,PWY-6996
2324,PWY-7445
2325,PWY-6848
2326,PWY-7119
2327,PWY-7134
2328,PWY-7366
2329,PWY-7367
2330,PWY-7041
2331,PWY-7783
2332,PWY-7172
2333,SOPHOROSYLOXYDOCOSANOATE-DEG-PWY
2334,PWY-7129
2335,PWY-5336
2336,PWY-7192
2337,PWY-7466
2338,PWY-1164
2339,PWY-7143
2340,PWY-5533
2341,PWY-7043
2342,PWY-7151
2343,PWY-5363
2344,PWY-7163
2345,PWY-6970
2346,PWY-7042
2347,PWY-7171
2348,PWY-6631
2349,PWY-7191
2350,PWY-5677
2351,PWY-7495
2352,PWY-5059
2353,PWY-5022
2354,PWY-7150
2355,PWY-5348
2356,PWY-7160
2357,PWY-7168
2358,PWY-5370
2359,PWY-5372
2360,PWY-7173
2361,PWY-7137
2362,PWY-7448
2363,PWY-7157
2364,PWY-7756
2365,PWY-5390
2366,PWY-7755
2367,PWY-7166
2368,PWY-6853
2369,PWY-6854
2370,PWY-5380
2371,PWY-5379
2372,PWY-5054
2373,PWY-6524
2374,PWY-7037
2375,PWY-6116
2376,PWY-7031
2377,PWY-6525
2378,PWY-7114
2379,PWY-6995
2380,PWY-6643
2381,P261-PWY
2382,PWY-6771
2383,PWY-6769
2384,PWY-7377
2385,PWY-6507
2386,PWY-7376
2387,PWY-7794
2388,PWY-6341
2389,PWY-5082
2390,METH-ACETATE-PWY
2391,PWY-6531
2392,PWY-5209
2393,PWY-7786
2394,PWY-5250
2395,RIBITOLUTIL-PWY
2396,METHFORM-PWY
2397,P562-PWY
2398,PWY-6815
2399,PWY-7241
2400,PWY-6986
2401,PWY-7862
2402,PWY-7828
2403,PWY-5248
2404,PWY-7664
2405,PWY-5259
2406,PWY-6813
2407,PWY-7587
2408,PWY-6827
2409,PWY-7787
2410,PWY-7647
2411,PWY-6816
2412,PWY-7789
2413,METHANOGENESIS-PWY
2414,PWY-7788
2415,PWY-7456
2416,PWY-5851
2417,PWY-862
2418,PWY-7255
2419,PWY-7033
2420,PWY-5247
2421,PWY-6822
2422,PWY-7550
2423,PWY-6821
2424,PWY-5853
2425,PWY-7032
2426,PWY-5261
2427,PWY-6817
2428,PWY-6622
2429,PWY-7372
2430,PWY-7442
2431,PWY-6793
2432,PWY-6032
2433,PWY-6262
2434,PWY-7424
2435,PWY-7155
2436,PWY-7588
2437,PWY-6036
2438,PWY-7851
2439,PWY-6075
2440,PWY-7154
2441,PWY-1501
2442,PWY-6028
2443,PWY-7779
2444,PWY-7780
2445,PWY-7776
2446,PWY-5534
2447,PWY-7778
2448,PWY-7777
2449,PWY-6694
2450,PWY-6697
2451,PWY-7027
2452,PWY-6696
2453,PWY-2221
2454,PWY-7026
2455,PWY-6695
2456,NPGLUCAT-PWY
2457,PWY-7035
2458,PWY-6698
2459,PWY-7029
2460,PWY-5302
2461,P203-PWY
2462,PWY-6523
2463,PWY-5001
2464,PWY-7288
2465,PWY-7307
2466,PWY-7339
2467,2ASDEG-PWY
2468,PWY-5002
2469,3-HYDROXYPHENYLACETATE-DEGRADATION-PWY
2470,4-HYDROXYMANDELATE-DEGRADATION-PWY
2471,4TOLCARBDEG-PWY
2472,PWY-7292
2473,M-CRESOL-DEGRADATION-PWY
2474,PWY-7338
2475,METHYLGALLATE-DEGRADATION-PWY
2476,P342-PWY
2477,P343-PWY
2478,PWY-5922
2479,P345-PWY
2480,PWY-5927
2481,PWY-7291
2482,P661-PWY
2483,PWY-7152
2484,PWY-7337
2485,P662-PWY
2486,PWY-7619
2487,PWY-7340
2488,PARATHION-DEGRADATION-PWY
2489,PWY-142
2490,PWY-7728
2491,PWY-6598
2492,PWY-481
2493,PWY-7595
2494,PWY-7726
2495,PWY-5163
2496,PWY-7725
2497,PWY-5169
2498,PWY-5353
2499,PWY-5450
2500,PWY-7583
2501,PWY-5489
2502,PWY-5490
2503,PWY-6184
2504,PWY-6185
2505,PWY-6210
2506,PWY-6789
2507,PWY-6340
2508,PWY-6532
2509,PWY-6533
2510,PWY-6550
2511,PWY-5429
2512,PWY-6781
2513,PWY-681
2514,PWY-6941
2515,PWY-5428
2516,PWY-5750
2517,PWY-7002
2518,PWY-5782
2519,PWY-7006
2520,PWY-7008
2521,PWY-7009
2522,PWY-7010
2523,PWY-7011
2524,PWY-7081
2525,PWY-721
