index,Pathway
321,PWY-6938
322,PWY-5968
323,PWY0-461
324,PWY-7213
325,PWY-5148
326,PWY-5049
327,MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS
328,PWY-5267
329,PWY-63
330,NONOXIPENT-PWY
331,PWY-5800
332,PWY-5691
333,PWY-581
334,PWY-6287
335,PWY-5441
336,DETOX1-PWY
337,GLUCOSE1PMETAB-PWY
338,GLUTAMINDEG-PWY
339,ARGININE-SYN4-PWY
340,NAGLIPASYN-PWY
341,PWY-7205
342,PWY-601
343,PWY-5946
344,PWY-116
345,PWY-361
346,PWY-5036
347,PWY-5194
348,GLYSYN-ALA-PWY
349,PWY-4861
350,PWY-7450
351,PWY-4381
352,PWY-5143
353,PWY1F-FLAVSYN
354,PWY-5203
355,PWY-6115
356,ASPARAGINE-DEG1-PWY
357,PWY-6754
358,PWY-5481
359,PWY-5386
360,PWY-7039
361,PWY-5886
362,PWY-6367
363,PWY-5670
364,GLYSYN-PWY
365,PWY-3181
366,GLUTAMATE-SYN2-PWY
367,PWY-5963
368,PWY-6363
369,PWY-6305
370,PWY-6898
371,PWY-6317
372,PWY-6364
373,PWY-5381
374,PWY-6614
375,PWY-7436
376,PWY-5698
377,COA-PWY
378,PWY-7176
379,PWY-3041
380,PWY-2841
381,PWY-5466
382,PWY-5391
383,PWY-4021
384,PWY-4983
385,PWYQT-4474
386,PWY-7221
387,PWY-5271
388,PWY-6483
389,PWY-3981
390,PWY-3941
391,PWY-6012
392,HOMOSERSYN-PWY
393,CAMALEXIN-SYN
394,NONMEVIPP-PWY
395,OXIDATIVEPENT-PWY
396,PWY-6005
397,PWY-3542
398,PANTO-PWY
399,PWY-7187
400,PWY-3781
401,PWY-6607
402,PWY-321
403,PWY-7346
404,PWY-6219
405,PWY-83
406,PWY-922
407,ASPARTATESYN-PWY
408,PWY66-21
409,PWY-6890
410,PWY0-1182
411,PWY-6910
412,PWY-3261
413,KDOSYN-PWY
414,PWY-5320
415,PWY-7197
416,PWY-1081
417,PWY-1042
418,PWY-2901
419,PWY-7120
420,PWY-6199
421,PYRIDNUCSYN-PWY
422,PWY-1186
423,ASPARAGINE-BIOSYNTHESIS
424,PWY-5129
425,GLYOXDEG-PWY
426,PWY-5859
427,PWY-6477
428,GLUTATHIONESYN-PWY
429,PWY-5805
430,GLUGLNSYN-PWY
431,PWYQT-4477
432,PWY-7343
433,PWY-5027
434,PWY-6502
435,PWY-5188
436,PWYQT-4475
437,PWY-5389
438,PWY-5667
439,ARGDEG-V-PWY
440,MALATE-ASPARTATE-SHUTTLE-PWY
441,PWY-6736
442,FASYN-ELONG-PWY
443,PWY0-662
444,PWY-43
445,CYSTSYN-PWY
446,PWY-5944
447,PWY-3221
448,PWY-4341
449,PWY-6008
450,PWY-6787
451,PWY-5122
452,PWY-6922
453,PWY-6457
454,PWY-5469
455,PWY-6668
456,PWY-6520
457,PWY-3821
458,PWY-7193
459,PWY-5807
460,PWY-181
461,PWY4FS-12
462,TYRFUMCAT-PWY
463,PWY-5669
464,PWY-5272
465,PWY-6554
466,PWY-6902
467,PWY-6932
468,CYANCAT-PWY
469,PWY-7238
470,PWY-5337
471,PWY-6786
472,PWY-381
473,PWY-6124
474,HOMOSER-THRESYN-PWY
475,ETHYL-PWY
476,PWY-5125
477,PWY-6799
478,PWY4FS-3
479,GLYCLEAV-PWY
480,PWY-5068
481,RIBOSYN2-PWY
482,PWY-7226
483,PWY-6444
484,PWY-5995
485,PWY-7183
486,CITRULLINE-DEG-PWY
487,PWY-6035
488,PWY-6019
489,ALACAT2-PWY
490,GLNSYN-PWY
491,PWY-622
492,PWY-3841
493,PWY-6163
494,PWY-6473
495,PWY-2261
496,PWY-6239
497,PWY-6475
498,PWYQT-4473
499,PWY-5269
500,PWY-5704
501,PWY-6845
502,PWY0-1507
503,PWY-7224
504,PWY-2781
505,PWY-6707
506,PWY-7170
507,PWY-6837
508,PWY-782
509,PWY-6164
510,PWY0-1544
511,PWY-46
512,PWY0-1578
513,TREDEGLOW-PWY
514,PWY-6617
515,PWY-5436
516,PWY0-1221
517,PWY0-1567
518,PUTDEG-PWY
519,PWY0-1584
520,2PHENDEG-PWY
521,PWY0-1477
522,PWY-5852
523,SALVPURINE2-PWY
524,PWY0-1329
525,PWY0-1321
526,THRDLCTCAT-PWY
527,PWY0-43
528,PWY-6611
529,PWY-5155
530,SERDEG-PWY
531,PWY0-1353
532,PWY0-1348
533,PWY-6609
534,PWY-6282
535,HEMESYN2-PWY
536,PWY0-1565
537,PWY0-1356
538,PWY-5437
539,PWY-7545
540,PWY0-1577
541,PWY0-1301
542,PWY0-44
543,PWY0-1335
544,PWY0-1582
545,THREONINE-DEG2-PWY
546,LYXMET-PWY
547,GLUAMCAT-PWY
548,PWY0-1300
549,GALACTITOLCAT-PWY
550,PWY0-1314
551,KDO-LIPASYN-PWY
552,P2-PWY
